"Id","first_name","last_name","email","Address","Country","Branch","Currency","Salary","LOF_Outlier","outlier_flag","Distance_Outlier"
100126,"Neron","Pennycook","npennycook1m@infoseek.co.jp","397 Cascade Way","Germany",2,"EUR",82000,1.5255097403516813,"No Outlier","false"
100127,"Kendra","Gitthouse","kgitthouse1w@tuttocitta.it","642 Waxwing Plaza","Germany",2,"EUR",100000,1.2891254663091298,"No Outlier","false"
100128,"Urbain","Scurrey","uscurrey40@creativecommons.org","387 Reindahl Trail","Mexico",4,"MXD",59000,1.3609828313771068,"No Outlier","false"
100129,"Desmond","Flannery","doflannery1d@imgur.com","8 Weeping Birch Point","Germany",2,"EUR",54000,1.5501597787380714,"No Outlier","false"
100130,"Marika","Kesper","mkesper4@digg.com","86516 Stephen Street","U.S.A.",1,"USD",32000,1.0258539597576124,"No Outlier","false"
100131,"Poul","Paulack","ppaulack22@facebook.com","5183 Onsgard Point","Germany",2,"EUR",52000,1.3242069971306865,"No Outlier","false"
100132,"Rickie","Lates Ken","rlatesken@ameblo.jp","823 Mockingbird Pass","Mexico",4,"MXD",60000,1.2391692229010585,"No Outlier","false"
100133,"Aigneis","Rangle","arangle2e@webs.com","71505 Green Ridge Alley","China",3,"CHY",350000,302.8747648726047,"No Outlier","false"
100134,"Kara","Scurrer","kscurrer3l@last.fm","99 Merrick Crossing","Mexico",4,"MXD",23000,1.1225984051532543,"No Outlier","false"
100135,"Maressa","Commucci","mcommucci3e@techcrunch.com","3 Prairieview Alley","Mexico",4,"MXD",40,7.147468918463754,"No Outlier","false"
100136,"Aurel","Bertelmot","abertelmots@live.com","57 Eagan Park","U.S.A.",1,"USD",19567,1.0394537419522512,"No Outlier","false"
100137,"Asa","Aleksandrev","aaleksandrev1h@msu.edu","001 Green Street","Germany",2,"EUR",42000,1.4804669960840968,"No Outlier","false"
100138,"Robinetta","Narracott","rnarracott2u@usgs.gov","67124 Laurel Road","China",3,"CHY",150000,1.0562876024198897,"No Outlier","false"
100139,"Burton","Dudden","bdudden39@japanpost.jp","050 Nova Court","Mexico",4,"INR",45999,0.8776451825695671,"No Outlier","false"
100140,"Falkner","Horlick","fhorlick3b@yandex.ru","0245 Ruskin Trail","Mexico",4,"MXD",29000,1.0319023311880617,"No Outlier","false"
100141,"Maddi","Peres","mperes3w@comcast.net","2 Crownhardt Street","Mexico",4,"MXD",24500,1.1625720365603918,"No Outlier","false"
100142,"Rodge","Sarfass","rsarfass3d@wired.com","82 7th Hill","Mexico",4,"MXD",15999,1.399639236961073,"No Outlier","false"
100143,"Alison","Lampert","alamperte@list-manage.com","78 Express Plaza","U.S.A.",1,"USD",27000,1.244752097696329,"No Outlier","false"
100144,"Yulma","Peyntue","ypeyntue26@mayoclinic.com","3257 American Crossing","China",3,"CHY",150000,1.0010685146699763,"No Outlier","false"
100145,"Reade","McCumesky","rmccumesky2y@list-manage.com","6766 Schmedeman Road","China",3,"CHY",150000,0.9752960419080896,"No Outlier","false"
100146,"Maximilian","Camies","mcamiesv@so-net.ne.jp","7201 Cambridge Park","U.S.A.",1,"USD",4000,5.542795936950208,"No Outlier","false"
100147,"Sloane","Andrzejak","sandrzejak3t@netlog.com","44 Troy Crossing","Mexico",4,"MXD",40500,1.2037129761976473,"No Outlier","false"
100148,"Carlye","Blunsen","cblunsen1o@admin.ch","8131 Stephen Park","Germany",2,"EUR",59500,1.3170622793970048,"No Outlier","false"
100149,"Darcy","Addie","daddie1k@jalbum.net","836 Marquette Pass","Germany",2,"EUR",60500999,871.7247962866793,"Outlier","true"
100150,"Cissy","Duley","cduley38@fotki.com","198 Westerfield Way","Mexico",4,"MXD",18000,1.0604627264003494,"No Outlier","false"
100151,"Ingmar","Durward","idurwardd@jimdo.com","38 Badeau Road","U.S.A.",1,"USD",30000,0.9826572305893776,"No Outlier","false"
100152,"Brittan","Timson","btimson32@yellowbook.com","9 Crownhardt Way","China",3,"CHY",150000,1.0818837611192984,"No Outlier","false"
100153,"Malvin","Houdmont","mhoudmont2k@google.it","654 7th Drive","China",3,"CHY",190000,320.9844231755651,"Outlier","false"
100154,"Murdock","Foucher","mfoucher3i@reverbnation.com","84969 Waubesa Place","Mexico",4,"MXD",39000,0.9769666294150335,"No Outlier","false"
100155,"Alberik","Statton","astatton2a@stanford.edu","822 Elka Crossing","China",3,"CHY",190000,298.07930051514006,"No Outlier","false"
100156,"Lemmie","Nitti","lnitti0@wordpress.org","20 Butterfield Junction","U.S.A.",1,"USD",67000,1.0914924303028497,"No Outlier","false"
100157,"Trenton","Keepence","tkeepence1y@skype.com","27518 Merry Place","Germany",2,"EUR",49000,0.9923605503373583,"No Outlier","false"
100158,"Berny","Peschka","bpeschka2l@webs.com","8 Ridgeway Alley","China",3,"CHY",500000,18.782300558404025,"No Outlier","true"
100159,"Bibbye","Fallis","bfallis1a@blogspot.com","05 Kedzie Avenue","Germany",2,"EUR",89000,1.0780835614063962,"No Outlier","false"
100160,"Aymer","Kilsby","akilsbya@scribd.com","3 Washington Hill","U.S.A.",1,"USD",32000,1.0341672363105168,"No Outlier","false"
100161,"Lorrie","Ogbourne","logbourne3r@time.com","52 Grover Alley","Mexico",4,"MXD",31000,0.9440770863153438,"No Outlier","false"
100162,"Zora","Brewin","zbrewin2h@netvibes.com","0281 Hintze Plaza","China",3,"CHY",320000,379.4837230084003,"Outlier","false"
100163,"Zenia","Aries","zaries31@ehow.com","67 Ridgeview Avenue","China",3,"CHY",150000,0.960455242168864,"No Outlier","false"
100164,"Matilde","Simmell","msimmell3f@seattletimes.com","08 Messerschmidt Street","Mexico",4,"MXD",25000,1.147104211906729,"No Outlier","false"
100165,"Gusti","Betz","gbetz45@reverbnation.com","24821 Amoth Circle","Mexico",4,"MXD",17800,1.0941830493745006,"No Outlier","false"
100166,"Cal","Pettendrich","cpettendrich36@multiply.com","11 Surrey Drive","Mexico",4,"MXD",34000,1.1975931276263097,"No Outlier","false"
100167,"Gilemette","MacKissack","gmackissack20@zdnet.com","6899 Weeping Birch Park","Germany",2,"EUR",60000,1.2391400691867986,"No Outlier","false"
100168,"Lazaro","Mudle","lmudle2t@dion.ne.jp","12744 Pierstorff Trail","China",3,"CHY",150000,0.9997686976190027,"No Outlier","false"
100169,"Chelsie","Mulles","cmulles3x@amazon.co.uk","8 Talmadge Circle","Mexico",6,"MXD",36000,0.9949865233288876,"No Outlier","false"
100170,"Arthur","Risman","arisman19@globo.com","6 Northwestern Junction","Germany",2,"EUR",72000,1.0531184414680104,"No Outlier","false"
100171,"Sibby","Sheeran","ssheeran3z@cam.ac.uk","87502 Moland Hill","Mexico",4,"MXD",75000,1.6931498970662322,"No Outlier","false"
100172,"Kerrie","Middlehurst","kmiddlehurstl@bigcartel.com","59845 Green Ridge Way","U.S.A.",1,"USD",86000,1.1721357238690395,"No Outlier","false"
100173,"Temp","Geratt","tgerattb@cyberchimps.com","262 Bonner Plaza","U.S.A.",1,"USD",100000,1.2888933277297074,"No Outlier","false"
100174,"Lenora","Beggan","lbeggan1i@howstuffworks.com","36266 Clarendon Alley","Germany",2,"EUR",37028,1.1169934320878776,"No Outlier","false"
100175,"Micheil","Mendez","mmendez2q@earthlink.net","6423 Sauthoff Alley","China",3,"CHY",140000,250.26511223495882,"No Outlier","false"
100176,"Brinn","Barracks","bbarracks1q@examiner.com","9782 Dovetail Park","Germany",2,"EUR",70000,0.9435701367349915,"No Outlier","false"
100177,"Johan","Cherrie","jcherriep@twitter.com","616 Barby Pass","U.S.A.",1,"USD",22000,1.0932324773913917,"No Outlier","false"
100178,"Shell","Dadge","sdadge3h@ezinearticles.com","70 Arrowood Way","Mexico",4,"MXD",54000,1.5019872712938,"No Outlier","false"
100179,"Cherise","Wellman","cwellman3j@ucsd.edu","03592 Schiller Park","Mexico",4,"MXD",24500,1.1623690988207622,"No Outlier","false"
100180,"Richmond","Pretsell","rpretsell1l@fc2.com","97908 Canary Trail","Germany",2,"EUR",51600,1.2892785568289344,"No Outlier","false"
100181,"Marris","Reace","mreace15@statcounter.com","43753 Forest Run Lane","Germany",2,"EUR",33163,1.212511889134862,"No Outlier","false"
100182,"Kathie","Berndtsson","kberndtsson5@usnews.com","05802 Meadow Ridge Alley","U.S.A.",1,"USD",21000,1.053432256164503,"No Outlier","false"
100183,"Tina","Savage","tsavage2z@netlog.com","65079 Loomis Pass","China",3,"CHY",150000,0.9485976804482738,"No Outlier","false"
100184,"Hobart","Truscott","htruscott12@hao123.com","5 Loftsgordon Drive","Germany",2,"EUR",44785,1.0150657500013773,"No Outlier","false"
100185,"Melantha","Butland","mbutland10@theatlantic.com","28 School Way","U.S.A.",1,"USD",100000,1.2888666278710734,"No Outlier","false"
100186,"Camile","Hegg","chegg3s@deliciousdays.com","382 Buell Lane","Mexico",4,"MXD",34000,1.197546436304892,"No Outlier","false"
100187,"Elsworth","Skells","eskells35@spotify.com","54486 Carberry Park","Mexico",4,"CHY",150000,0.9238526672228327,"No Outlier","false"
100188,"Obed","Yesinov","oyesinov2f@adobe.com","606 Farragut Hill","China",3,"CHY",890000,18.600713777897173,"No Outlier","true"
100189,"Marjie","Phython","mphythonu@macromedia.com","24819 Carey Place","U.S.A.",1,"USD",35000,1.141723863846673,"No Outlier","false"
100190,"Jameson","Lerigo","jlerigo2x@comsenz.com","26 Graedel Street","China",3,"CHY",150000,0.9238773814681281,"No Outlier","false"
100191,"Natty","Visick","nvisick1u@lulu.com","2 Merry Avenue","Germany",2,"EUR",95000,1.1771715742512279,"No Outlier","false"
100192,"Clarissa","Munning","cmunning27@google.com.au","98855 Carpenter Junction","China",3,"CHY",360000,317.8313740519245,"Outlier","false"
100193,"Siegfried","Ingledow","singledown@lulu.com","4792 Victoria Trail","U.S.A.",1,"USD",30000,0.9254572628459575,"No Outlier","false"
100194,"Boigie","Daouze","bdaouze3n@livejournal.com","01783 Veith Trail","Mexico",4,"MXD",15000,1.6992020300051274,"No Outlier","false"
100195,"Marline","Goatman","mgoatman28@wikia.com","936 Canary Way","China",3,"CHY",150000,1.0411415514931335,"No Outlier","false"
100196,"Darryl","Hanscombe","dhanscombeq@theglobeandmail.com","4 Old Shore Lane","U.S.A.",1,"USD",50000,1.1035374554130342,"No Outlier","false"
100197,"Muffin","Balsellie","mbalsellie37@indiegogo.com","0589 Ludington Crossing","Mexico",4,"MXD",30000,0.9254658488673766,"No Outlier","false"
100198,"Fawn","Onge","fonge6@deviantart.com","3966 Banding Park","U.S.A.",1,"USD",80000,1.7138373659258384,"No Outlier","false"
100199,"Gaspard","Benardet","gbenardet41@alexa.com","21 Annamark Hill","Mexico",4,"MXD",40000,1.1143000676565007,"No Outlier","false"
100200,"Corbett","Cardo","ccardow@cargocollective.com","827 Havey Center","U.S.A.",1,"USD",62000,1.1669433663683724,"No Outlier","false"
100201,"Ingeberg","Scholcroft","ischolcroft33@rakuten.co.jp","76 Red Cloud Plaza","China",3,"CHY",150000,1.0147332236171904,"No Outlier","false"
100202,"Sayre","Joust","sjoust25@tamu.edu","025 Schiller Drive","China",3,"CHY",240000,428.3742704292808,"Outlier","false"
100203,"Seth","Gobbett","sgobbett9@ezinearticles.com","00 Stephen Crossing","U.S.A.",1,"USD",24000,1.240256297498195,"No Outlier","false"
100204,"Misha","Tunna","mtunnaj@dailymotion.com","15 Kipling Drive","U.S.A.",1,"USD",32000999,468.24918660328086,"Outlier","true"
100205,"Lamar","Smither","lsmither3m@cpanel.net","9 Arizona Park","Mexico",4,"MXD",27500,1.1940296523119773,"No Outlier","false"
100206,"Celeste","Tabbitt","ctabbitt2o@privacy.gov.au","10 Moland Circle","China",3,"CHY",190000,286.9193792954457,"No Outlier","false"
100207,"Carlie","Matschke","cmatschkeg@yellowbook.com","34 Gina Place","U.S.A.",1,"USD",18000,1.0762903184788992,"No Outlier","false"
100208,"Humberto","Stranieri","hstranieri1j@bbb.org","6 Surrey Parkway","Germany",2,"EUR",46000,0.8732843940793884,"No Outlier","false"
100209,"Carmine","Juleff","cjuleff3o@amazon.com","066 Dahle Pass","Mexico",4,"MXD",18000,1.076295419628043,"No Outlier","false"
100210,"Cherise","Wison","cwison2v@php.net","7984 Coleman Park","China",3,"CHY",150000,1.1364573277289352,"No Outlier","false"
100211,"Helyn","Dassindale","hdassindale3v@google.ru","84 Crest Line Parkway","Mexico",4,"MXD",28000,1.0315006744705821,"No Outlier","false"
100212,"Gabriel","Paradise","gparadiseh@wordpress.com","852 Pleasure Hill","U.S.A.",1,"USD",56000,1.3979027168123817,"No Outlier","false"
100213,"Tracey","Dunster","tdunster3y@surveymonkey.com","619 Sunfield Hill","Mexico",4,"MXD",46099,0.8827873942898539,"No Outlier","false"
100214,"Vina","McRobert","vmcrobert2m@unicef.org","641 Reindahl Center","China",3,"CHY",240000,411.95322284335697,"Outlier","false"
100215,"Fabio","Stopper","fstopper3q@weather.com","39393 Superior Plaza","Mexico",4,"MXD",51000,1.2109480798759165,"No Outlier","false"
100216,"Neron","Menendez","nmenendez1v@networkadvertising.org","72 Knutson Point","Germany",2,"EUR",44638,1.108784560256039,"No Outlier","false"
100217,"Reinwald","Taudevin","rtaudevin3a@mayoclinic.com","402 Continental Hill","Mexico",4,"MXD",70000,0.9508418226820261,"No Outlier","false"
100218,"Tallulah","Ferronet","tferronet2d@fotki.com","407 Darwin Crossing","China",3,"CHY",600000,11.62391978848763,"No Outlier","true"
100219,"Isadore","Morville","imorvillex@vimeo.com","8716 Canary Parkway","U.S.A.",1,"USD",31000,0.9605050465234426,"No Outlier","false"
100220,"Garvey","MacCosto","gmaccosto3c@pbs.org","61 Springview Pass","Mexico",4,"MXD",45800,0.9858565951522055,"No Outlier","false"
100221,"Amalle","Celes","aceles2r@hc360.com","7944 Annamark Court","China",3,"CHY",150500,11.619284298742778,"No Outlier","false"
100222,"Hailey","Edghinn","hedghinn17@acquirethisname.com","05 Namekagon Parkway","Germany",2,"EUR",45000,0.939289286795266,"No Outlier","false"
100223,"Abe","Ghelardoni","aghelardoni42@prweb.com","47 Spohn Drive","Mexico",4,"MXD",36400,1.015191062663714,"No Outlier","false"
100224,"Karyn","Mallindine","kmallindine1c@statcounter.com","16334 Michigan Circle","Germany",2,"EUR",89000,1.0775601963721206,"No Outlier","false"
100225,"Sutherland","Arro","sarro8@admin.ch","9950 Pawling Alley","U.S.A.",1,"USD",50056,1.0725394686831806,"No Outlier","false"
100226,"Chloris","Hebborne","chebbornem@hexun.com","0582 Myrtle Road","U.S.A.",1,"USD",36000,0.9939940952421363,"No Outlier","false"
100227,"Lolita","Fernihough","lfernihough14@studiopress.com","98 Sachs Parkway","Germany",2,"EUR",100000,1.2884172440195856,"No Outlier","false"
100228,"Egor","Trudgeon","etrudgeon1n@tumblr.com","0475 Luster Trail","Germany",2,"EUR",70000,0.9508279905032462,"No Outlier","false"
100229,"Lincoln","Augustine","laugustine2s@skyrock.com","2946 Manley Court","China",3,"CHY",150000,1.4612389157773307,"No Outlier","false"
100230,"Nissie","Burney","nburneyr@paginegialle.it","34 Dovetail Point","U.S.A.",1,"USD",26500,1.2770642219384984,"No Outlier","false"
100231,"Darby","Mandell","dmandell1z@ovh.net","922 Sachs Avenue","Germany",2,"EUR",38000,1.1224192403427316,"No Outlier","false"
100232,"Fonzie","Rasell","frasell44@eepurl.com","991 Scoville Trail","Mexico",4,"MXD",46888,1.4087826764396767,"No Outlier","false"
100233,"Bel","Hodgin","bhodgin2g@msu.edu","60 Bellgrove Court","Japan",3,"CHY",600000,11.62391991815255,"No Outlier","true"
100234,"Sylvia","Holborn","sholborn13@paypal.com","83094 Packers Alley","Germany",2,"EUR",69000,0.9845892268715654,"No Outlier","false"
100235,"Dur","Atlee","datlee3k@hugedomains.com","39084 Thackeray Center","Mexico",4,"MXD",46000,0.8728625012925816,"No Outlier","false"
100236,"Cesaro","Kinnock","ckinnock18@liveinternet.ru","518 Center Way","Germany",2,"EUR",50000,1.1353265921848843,"No Outlier","false"
100237,"Clarette","Headford","cheadford23@flickr.com","674 International Plaza","Germany",2,"EUR",70000,0.9508335490507291,"No Outlier","false"
100238,"Wittie","Guarin","wguarint@vkontakte.ru","3 Graceland Hill","U.S.A.",1,"USD",39200,0.9999774136146449,"No Outlier","false"
100239,"Lavinia","Thorneloe","lthorneloe1f@ameblo.jp","09 Huxley Pass","Germany",2,"EUR",95000,1.1766162806600746,"No Outlier","false"
100240,"Katina","Borel","kborelo@github.io","629 Hansons Terrace","U.S.A.",1,"USD",68000,0.9831174136076198,"No Outlier","false"
100241,"Stuart","Dello","sdeldello3u@msu.edu","8669 Warner Park","Mexico",4,"MXD",31000,0.9607360248857569,"No Outlier","false"
100242,"Rosalia","Boseley","rboseleyi@sfgate.com","97917 Brentwood Alley","U.S.A.",1,"USD",60000,1.2340651417978772,"No Outlier","false"
100243,"Feodor","Tine","ftine1e@flickr.com","04 Moland Point","Germany",2,"EUR",32000,1.0657692363562332,"No Outlier","false"
100244,"Olivie","Knightly","oknightly34@godaddy.com","04375 Bunting Pass","China",3,"CHY",150000,1.9441497970115393,"No Outlier","false"
100245,"Saundra","Morphey","smorphey43@diigo.com","63 Red Cloud Parkway","Mexico",4,"MXD",28000,1.0325204509296741,"No Outlier","false"
100246,"Nettle","Gleadhall","ngleadhall3@umn.edu","511 Loftsgordon Plaza","U.S.A.",1,"USD",29000,0.9930598681422946,"No Outlier","false"
100247,"Nelson","McRinn","nmcrinn3p@economist.com","56053 Buell Terrace","Mexico",2,"MXD",19999,1.0276338401531078,"No Outlier","false"
100248,"Georgine","Racher","gracherf@webeden.co.uk","68311 Lake View Park","U.S.A.",1,"USD",42500,1.566077068338402,"No Outlier","false"
100249,"Aurore","Grece","agrece24@technorati.com","093 Stuart Place","China",3,"CHY",180000,219.1662480339194,"No Outlier","false"
100250,"Briana","Catchpole","bcatchpole2c@over-blog.com","19005 Bluejay Park","China",3,"CHY",900000,18.905888282636816,"No Outlier","true"
